,fold-1_image_number,fold-2_image_number,fold-3_image_number,fold-4_image_number,fold-5_image_number
0,221,155,220,155,172
1,393,327,375,327,333
2,568,499,554,709,552
3,729,700,755,848,691
4,901,876,931,1048,847
5,1077,1037,1168,1245,1044
6,1233,1253,1324,1446,1264
7,1412,1490,1524,1625,1646
8,1619,1690,1724,1786,1846
9,1835,1909,1940,1960,2020
10,2217,2291,2079,2142,2202
11,2418,2488,2300,2363,2439
12,2557,2670,2475,2563,2615
13,2712,2890,2694,2782,2822
14,2886,3064,2891,3002,3038
15,3086,3271,3098,3174,3238
16,3270,3455,3282,3358,3417
17,3452,3630,3454,3595,3592
18,3452,3630,3454,3751,3813
