,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,orientation,axis_major_length,axis_minor_length,area,area_filled,real_area,kmeans_label,circle_class,pixel_count,composite_image_path,species,vial,subset,composite_image_number,segmented_image_name
0,3777.930423,1796.0422,3542,1558,4017,2034,-1.163697669,377.9142679,374.9020258,108814,110100,3.141592654,1,circle,111448,F:\Beetle_classification_deep_data\Coccotypes_dactyliperda\Vial_16296\Subset_1\IMG_0052.JPG,Coccotypes_dactyliperda,16296.0,1,52,Coccotypes_dactyliperda_16296_1_0052_21
1,3556.669426,2453.577896,3321,2217,3792,2690,1.52163952,376.0901854,370.8584877,107014,108338,3.141592654,0,circle,109281,F:\Beetle_classification_deep_data\Coccotypes_dactyliperda\Vial_16296\Subset_1\IMG_0053.JPG,Coccotypes_dactyliperda,16296.0,1,53,Coccotypes_dactyliperda_16296_1_0053_24
2,3702.314811,2341.758072,3468,2105,3938,2580,-1.52523163,377.0079513,372.0505957,107652,108970,3.141592654,1,circle,110132,F:\Beetle_classification_deep_data\Coccotypes_dactyliperda\Vial_16296\Subset_1\IMG_0055.JPG,Coccotypes_dactyliperda,16296.0,1,55,Coccotypes_dactyliperda_16296_1_0055_22
3,2246.977654,1771.284279,2010,1536,2483,2008,0.769687308,374.3305255,373.9644093,106997,108556,3.141592654,1,circle,108963,F:\Beetle_classification_deep_data\Coccotypes_dactyliperda\Vial_16296\Subset_1\IMG_0056.JPG,Coccotypes_dactyliperda,16296.0,1,56,Coccotypes_dactyliperda_16296_1_0056_9
4,3561.132401,2185.591322,3325,1948,3799,2423,-1.102176113,375.8821391,374.2054988,107975,109292,3.141592654,0,circle,110169,F:\Beetle_classification_deep_data\Coccotypes_dactyliperda\Vial_16296\Subset_1\IMG_0057.JPG,Coccotypes_dactyliperda,16296.0,1,57,Coccotypes_dactyliperda_16296_1_0057_16
5,3433.169762,2251.508266,3197,2014,3669,2489,-1.225136462,377.1601226,372.873552,107910,109245,3.141592654,1,circle,110201,F:\Beetle_classification_deep_data\Coccotypes_dactyliperda\Vial_16296\Subset_1\IMG_0058.JPG,Coccotypes_dactyliperda,16296.0,1,58,Coccotypes_dactyliperda_16296_1_0058_16
6,3396.30312,2238.04562,3161,2001,3634,2476,1.166501407,376.6184692,374.5939574,108221,109577,3.141592654,1,circle,110175,F:\Beetle_classification_deep_data\Coccotypes_dactyliperda\Vial_16296\Subset_1\IMG_0059.JPG,Coccotypes_dactyliperda,16296.0,1,59,Coccotypes_dactyliperda_16296_1_0059_15
7,3063.500767,1676.531239,2829,1439,3300,1915,-1.524271822,379.508035,373.9592076,108855,110237,3.141592654,0,circle,111394,F:\Beetle_classification_deep_data\Coccotypes_dactyliperda\Vial_16296\Subset_1\IMG_0060.JPG,Coccotypes_dactyliperda,16296.0,1,60,Coccotypes_dactyliperda_16296_1_0060_14
8,3141.533568,1818.003739,2904,1581,3380,2056,1.391430242,375.6307369,374.2488237,107780,109165,3.141592654,1,circle,111397,F:\Beetle_classification_deep_data\Coccotypes_dactyliperda\Vial_16296\Subset_1\IMG_0061.JPG,Coccotypes_dactyliperda,16296.0,1,61,Coccotypes_dactyliperda_16296_1_0061_14
9,3306.247621,1915.427819,3070,1677,3543,2158,-1.35493948,377.8568046,372.9050561,108048,109426,3.141592654,0,circle,113439,F:\Beetle_classification_deep_data\Coccotypes_dactyliperda\Vial_16296\Subset_1\IMG_0062.JPG,Coccotypes_dactyliperda,16296.0,1,62,Coccotypes_dactyliperda_16296_1_0062_12
