2023-02-10 18:58:53,641 INFO    Thread-533 (_run_job):22564 [wandb_setup.py:_flush():68] Configure stats pid to 22564
2023-02-10 18:58:53,642 INFO    Thread-533 (_run_job):22564 [wandb_setup.py:_flush():68] Loading settings from C:\Users\GCM\.config\wandb\settings
2023-02-10 18:58:53,642 INFO    Thread-533 (_run_job):22564 [wandb_setup.py:_flush():68] Loading settings from E:\GIT_REPOS\LAB\Beetle_classifier\Train\wandb\settings
2023-02-10 18:58:53,642 INFO    Thread-533 (_run_job):22564 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'MNIST', 'entity': 'christopher-marais', 'root_dir': 'E:\\GIT_REPOS\\LAB\\Beetle_classifier\\Train', 'run_id': 'clthdvvg', 'sweep_param_path': 'E:\\GIT_REPOS\\LAB\\Beetle_classifier\\Train\\wandb\\sweep-s8giiztn\\config-clthdvvg.yaml', 'sweep_id': 's8giiztn'}
2023-02-10 18:58:53,642 INFO    Thread-533 (_run_job):22564 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-02-10 18:58:53,642 INFO    Thread-533 (_run_job):22564 [wandb_init.py:_log_setup():492] Logging user logs to E:\GIT_REPOS\LAB\Beetle_classifier\Train\wandb\run-20230210_185853-clthdvvg\logs\debug.log
2023-02-10 18:58:53,642 INFO    Thread-533 (_run_job):22564 [wandb_init.py:_log_setup():493] Logging internal logs to E:\GIT_REPOS\LAB\Beetle_classifier\Train\wandb\run-20230210_185853-clthdvvg\logs\debug-internal.log
2023-02-10 18:58:53,643 INFO    Thread-533 (_run_job):22564 [wandb_init.py:_jupyter_setup():438] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000025AE016DD80>
2023-02-10 18:58:53,643 INFO    Thread-533 (_run_job):22564 [wandb_init.py:init():532] calling init triggers
2023-02-10 18:58:53,643 INFO    Thread-533 (_run_job):22564 [wandb_init.py:init():538] wandb.init called with sweep_config: {'lr': 0.0004705886723155861, 'n_layer_1': 256, 'n_layer_2': 32}
config: {}
2023-02-10 18:58:53,643 INFO    Thread-533 (_run_job):22564 [wandb_init.py:init():588] starting backend
2023-02-10 18:58:53,643 INFO    Thread-533 (_run_job):22564 [wandb_init.py:init():592] setting up manager
2023-02-10 18:58:53,661 INFO    Thread-533 (_run_job):22564 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-02-10 18:58:53,668 INFO    Thread-533 (_run_job):22564 [wandb_init.py:init():599] backend started and connected
2023-02-10 18:58:53,683 INFO    Thread-533 (_run_job):22564 [wandb_run.py:_config_callback():1250] config_cb None None {'lr': 0.0004705886723155861, 'n_layer_1': 256, 'n_layer_2': 32}
2023-02-10 18:58:53,684 INFO    Thread-533 (_run_job):22564 [wandb_run.py:_label_probe_notebook():1203] probe notebook
2023-02-10 18:58:53,684 INFO    Thread-533 (_run_job):22564 [wandb_run.py:_label_probe_notebook():1213] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-02-10 18:58:53,684 INFO    Thread-533 (_run_job):22564 [wandb_init.py:init():687] updated telemetry
2023-02-10 18:58:53,726 INFO    Thread-533 (_run_job):22564 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-02-10 18:58:54,081 INFO    Thread-533 (_run_job):22564 [wandb_run.py:_on_init():2134] communicating current version
2023-02-10 18:58:54,301 INFO    Thread-533 (_run_job):22564 [wandb_run.py:_on_init():2143] got version response 
2023-02-10 18:58:54,301 INFO    Thread-533 (_run_job):22564 [wandb_init.py:init():775] starting run threads in backend
2023-02-10 18:58:54,487 INFO    Thread-533 (_run_job):22564 [wandb_run.py:_console_start():2114] atexit reg
2023-02-10 18:58:54,487 INFO    Thread-533 (_run_job):22564 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-10 18:58:54,487 INFO    Thread-533 (_run_job):22564 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-10 18:58:54,487 INFO    Thread-533 (_run_job):22564 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-10 18:58:54,488 INFO    Thread-533 (_run_job):22564 [wandb_init.py:init():817] run started, returning control to user process
