2023-04-16 17:49:57,349 INFO    Thread-10 (_run_job):46749 [wandb_setup.py:_flush():76] Configure stats pid to 46749
2023-04-16 17:49:57,350 INFO    Thread-10 (_run_job):46749 [wandb_setup.py:_flush():76] Loading settings from /home/gmarais/.config/wandb/settings
2023-04-16 17:49:57,350 INFO    Thread-10 (_run_job):46749 [wandb_setup.py:_flush():76] Loading settings from /blue/hulcr/gmarais/Beetle_classifier/Train/wandb/settings
2023-04-16 17:49:57,350 INFO    Thread-10 (_run_job):46749 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'notebook_name': 'Parameter_Optimization_Sweep.ipynb', 'project': 'Ambrosia_Symbiosis', 'entity': 'christopher-marais', 'root_dir': '/blue/hulcr/gmarais/Beetle_classifier/Train', 'run_id': 's3lcgrgj', 'sweep_param_path': '/blue/hulcr/gmarais/Beetle_classifier/Train/wandb/sweep-h6cewgdt/config-s3lcgrgj.yaml', 'sweep_id': 'h6cewgdt'}
2023-04-16 17:49:57,350 INFO    Thread-10 (_run_job):46749 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-16 17:49:57,350 INFO    Thread-10 (_run_job):46749 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-04-16 17:49:57,350 INFO    Thread-10 (_run_job):46749 [wandb_init.py:_log_setup():506] Logging user logs to /blue/hulcr/gmarais/Beetle_classifier/Train/wandb/run-20230416_174957-s3lcgrgj/logs/debug.log
2023-04-16 17:49:57,350 INFO    Thread-10 (_run_job):46749 [wandb_init.py:_log_setup():507] Logging internal logs to /blue/hulcr/gmarais/Beetle_classifier/Train/wandb/run-20230416_174957-s3lcgrgj/logs/debug-internal.log
2023-04-16 17:49:57,350 INFO    Thread-10 (_run_job):46749 [wandb_init.py:_jupyter_setup():452] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x2ae84a19b040>
2023-04-16 17:49:57,351 INFO    Thread-10 (_run_job):46749 [wandb_init.py:init():546] calling init triggers
2023-04-16 17:49:57,351 INFO    Thread-10 (_run_job):46749 [wandb_init.py:init():552] wandb.init called with sweep_config: {'batch_size': 128, 'epochs': 3, 'model_name': 'maxvit_rmlp_small_rw_224.sw_in1k', 'pretrained': False}
config: {}
2023-04-16 17:49:57,351 INFO    Thread-10 (_run_job):46749 [wandb_init.py:init():602] starting backend
2023-04-16 17:49:57,351 INFO    Thread-10 (_run_job):46749 [wandb_init.py:init():606] setting up manager
2023-04-16 17:49:57,357 INFO    Thread-10 (_run_job):46749 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-16 17:49:57,364 INFO    Thread-10 (_run_job):46749 [wandb_init.py:init():613] backend started and connected
2023-04-16 17:49:57,374 INFO    Thread-10 (_run_job):46749 [wandb_run.py:_config_callback():1251] config_cb None None {'batch_size': 128, 'epochs': 3, 'model_name': 'maxvit_rmlp_small_rw_224.sw_in1k', 'pretrained': False}
2023-04-16 17:49:57,375 INFO    Thread-10 (_run_job):46749 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2023-04-16 17:49:57,375 INFO    Thread-10 (_run_job):46749 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-04-16 17:49:57,375 INFO    Thread-10 (_run_job):46749 [wandb_init.py:init():701] updated telemetry
2023-04-16 17:49:57,387 INFO    Thread-10 (_run_job):46749 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-04-16 17:49:57,614 INFO    Thread-10 (_run_job):46749 [wandb_run.py:_on_init():2133] communicating current version
2023-04-16 17:49:57,682 INFO    Thread-10 (_run_job):46749 [wandb_run.py:_on_init():2142] got version response upgrade_message: "wandb version 0.14.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-04-16 17:49:57,682 INFO    Thread-10 (_run_job):46749 [wandb_init.py:init():789] starting run threads in backend
2023-04-16 17:49:58,734 INFO    Thread-10 (_run_job):46749 [wandb_run.py:_console_start():2114] atexit reg
2023-04-16 17:49:58,734 INFO    Thread-10 (_run_job):46749 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-16 17:49:58,734 INFO    Thread-10 (_run_job):46749 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-16 17:49:58,734 INFO    Thread-10 (_run_job):46749 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-16 17:49:58,735 INFO    Thread-10 (_run_job):46749 [wandb_init.py:init():831] run started, returning control to user process
